Nama,Email,Password,Mapel Utama,Mapel Tambahan,Kelas
Ahmad Fauzi,ahmad.fauzi@smp-demo.sch.id,Smartatt123!,Pendidikan Agama dan Budi Pekerti,,VII A;VII B;VIII A;VIII B;IX A;IX B
Siti Rahmawati,siti.rahmawati@smp-demo.sch.id,Smartatt123!,Pendidikan Pancasila,,VII A;VII B;VIII A;VIII B;IX A;IX B
Budi Santoso,budi.santoso@smp-demo.sch.id,Smartatt123!,Bahasa Indonesia,,VII A;VII B;VIII A;VIII B;IX A;IX B
Rina Kartika,rina.kartika@smp-demo.sch.id,Smartatt123!,Matematika,Fisika,VII A;VII B;VIII A;VIII B;IX A;IX B
Dedi Kurniawan,dedi.kurniawan@smp-demo.sch.id,Smartatt123!,Ilmu Pengetahuan Alam,Biologi,VII A;VII B;VIII A;VIII B;IX A;IX B
Lilis Handayani,lilis.handayani@smp-demo.sch.id,Smartatt123!,Ilmu Pengetahuan Sosial,Geografi;Ekonomi,VII A;VII B;VIII A;VIII B;IX A;IX B
Nurul Hidayah,nurul.hidayah@smp-demo.sch.id,Smartatt123!,Bahasa Inggris,,VII A;VII B;VIII A;VIII B;IX A;IX B
Agus Setiawan,agus.setiawan@smp-demo.sch.id,Smartatt123!,Informatika,Matematika,VII A;VII B;VIII A;VIII B;IX A;IX B
Dewi Lestari,dewi.lestari@smp-demo.sch.id,Smartatt123!,"Pendidikan Jasmani, Olahraga, dan Kesehatan",,VII A;VII B;VIII A;VIII B;IX A;IX B
Yuni Astuti,yuni.astuti@smp-demo.sch.id,Smartatt123!,Seni Budaya,,VII A;VII B;VIII A;VIII B;IX A;IX B
Eko Prasetyo,eko.prasetyo@smp-demo.sch.id,Smartatt123!,Prakarya,Informatika,VII A;VII B;VIII A;VIII B;IX A;IX B
Maya Sari,maya.sari@smp-demo.sch.id,Smartatt123!,Muatan Lokal,,VII A;VII B;VIII A;VIII B;IX A;IX B
Fajar Nugroho,fajar.nugroho@smp-demo.sch.id,Smartatt123!,Fisika,Matematika,VII A;VII B;VIII A;VIII B;IX A;IX B
Intan Permata,intan.permata@smp-demo.sch.id,Smartatt123!,Biologi,Ilmu Pengetahuan Alam,VII A;VII B;VIII A;VIII B;IX A;IX B
Wahyu Maulana,wahyu.maulana@smp-demo.sch.id,Smartatt123!,Geografi,Ilmu Pengetahuan Sosial,VII A;VII B;VIII A;VIII B;IX A;IX B
Putri Amelia,putri.amelia@smp-demo.sch.id,Smartatt123!,Sejarah,Ilmu Pengetahuan Sosial,VII A;VII B;VIII A;VIII B;IX A;IX B
Hendra Wijaya,hendra.wijaya@smp-demo.sch.id,Smartatt123!,Ekonomi,Ilmu Pengetahuan Sosial,VII A;VII B;VIII A;VIII B;IX A;IX B
