No,NIS,NISN,Nama,Kelas,Wali,No WA
1,270101,1010000001,Aditya Pratama,VII A,Bambang Pratama,081210000001
2,270102,1010000002,Aisyah Putri,VII A,Rahmat Hidayat,081210000002
3,270103,1010000003,Bagas Saputra,VII A,Dedi Saputra,081210000003
4,270104,1010000004,Citra Lestari,VII A,Sri Lestari,081210000004
5,270105,1010000005,Daffa Ramadhan,VII A,Ahmad Ramadhan,081210000005
1,270201,1020000001,Alif Maulana,VII B,Hendra Maulana,081220000001
2,270202,1020000002,Anisa Rahma,VII B,Siti Aminah,081220000002
3,270203,1020000003,Bima Arya,VII B,Agus Suharto,081220000003
4,270204,1020000004,Dea Maharani,VII B,Yuni Maharani,081220000004
5,270205,1020000005,Fajar Nugraha,VII B,Eko Nugraha,081220000005
1,280101,2010000001,Farhan Akbar,VIII A,Hasan Akbar,081230000001
2,280102,2010000002,Gita Permata,VIII A,Rina Permata,081230000002
3,280103,2010000003,Hafiz Alamsyah,VIII A,Irfan Alamsyah,081230000003
4,280104,2010000004,Indah Puspita,VIII A,Dewi Puspita,081230000004
5,280105,2010000005,Jihan Safitri,VIII A,Lilis Safitri,081230000005
1,280201,2020000001,Kevin Setiawan,VIII B,Rudi Setiawan,081240000001
2,280202,2020000002,Laila Nuraini,VIII B,Nur Aini,081240000002
3,280203,2020000003,Muhammad Rizky,VIII B,Fauzi Rahman,081240000003
4,280204,2020000004,Nabila Zahra,VIII B,Fitri Handayani,081240000004
5,280205,2020000005,Oki Kurniawan,VIII B,Joko Kurniawan,081240000005
1,290101,3010000001,Putra Mahendra,IX A,Andi Mahendra,081250000001
2,290102,3010000002,Qanita Aulia,IX A,Rina Aulia,081250000002
3,290103,3010000003,Rafi Firmansyah,IX A,Yusuf Firmansyah,081250000003
4,290104,3010000004,Salsa Oktaviani,IX A,Maya Oktaviani,081250000004
5,290105,3010000005,Tegar Prakoso,IX A,Budi Prakoso,081250000005
1,290201,3020000001,Umar Fadillah,IX B,Abdul Fadillah,081260000001
2,290202,3020000002,Vania Amelia,IX B,Putri Amelia,081260000002
3,290203,3020000003,Wahyu Hidayat,IX B,Slamet Hidayat,081260000003
4,290204,3020000004,Yasmin Khairunnisa,IX B,Nur Khairunnisa,081260000004
5,290205,3020000005,Zidan Alfarizi,IX B,Arif Alfarizi,081260000005
