No,NIS,NISN,Nama,Kelas,Wali,No WA
1,2901001,2901000001,Habib Akbar,IX A,Mansur Akbar,080000000061
2,2901002,2901000002,Hasna Mutiara,IX A,Rika Mutiara,080000000062
3,2901003,2901000003,Ibnu Fathan,IX A,Samsul Fathan,080000000063
4,2901004,2901000004,Jihan Nurfadila,IX A,Yani Nurfadila,080000000064
5,2901005,2901000005,Kenzie Alvaro,IX A,Rio Alvaro,080000000065
6,2901006,2901000006,Keyla Anindita,IX A,Novi Anindita,080000000066
7,2901007,2901000007,Luthfi Ramadhan,IX A,Hadi Ramadhan,080000000067
8,2901008,2901000008,Marsha Azzahra,IX A,Dina Azzahra,080000000068
9,2901009,2901000009,Mikail Pradana,IX A,Arman Pradana,080000000069
10,2901010,2901000010,Nabila Syakira,IX A,Susi Syakira,080000000070
