No,NIS,NISN,Nama,Kelas,Wali,No WA
1,2902001,2902000001,Oscar Mahardika,IX B,Wawan Mahardika,080000000071
2,2902002,2902000002,Putri Ayuningtyas,IX B,Nanik Ayuningtyas,080000000072
3,2902003,2902000003,Raka Adiwijaya,IX B,Yudi Adiwijaya,080000000073
4,2902004,2902000004,Rasya Firmansyah,IX B,Ilham Firmansyah,080000000074
5,2902005,2902000005,Salma Khairani,IX B,Endah Khairani,080000000075
6,2902006,2902000006,Samuel Jonathan,IX B,Daniel Jonathan,080000000076
7,2902007,2902000007,Syifa Aulia,IX B,Neni Aulia,080000000077
8,2902008,2902000008,Thoriq Akmal,IX B,Fauzi Akmal,080000000078
9,2902009,2902000009,Valencia Putri,IX B,Melati Putri,080000000079
10,2902010,2902000010,Yusuf Ardiansyah,IX B,Imam Ardiansyah,080000000080
