No,NIS,NISN,Nama,Kelas,Wali,No WA
1,2903001,2903000001,Zahra Nabilah,IX C,Sinta Nabilah,080000000081
2,2903002,2903000002,Abdul Hakim,IX C,Ridwan Hakim,080000000082
3,2903003,2903000003,Almira Safira,IX C,Rani Safira,080000000083
4,2903004,2903000004,Arjuna Kresna,IX C,Bima Kresna,080000000084
5,2903005,2903000005,Celine Natalia,IX C,Maria Natalia,080000000085
6,2903006,2903000006,Faiz Alghifari,IX C,Rizal Alghifari,080000000086
7,2903007,2903000007,Keisya Maharani,IX C,Linda Maharani,080000000087
8,2903008,2903000008,Malik Ibrahim,IX C,Hendra Ibrahim,080000000088
9,2903009,2903000009,Nasywa Humaira,IX C,Rosi Humaira,080000000089
10,2903010,2903000010,Zaki Mubarak,IX C,Farid Mubarak,080000000090
