No,NIS,NISN,Nama,Kelas,Wali,No WA
1,2701001,2701000001,Aditya Pratama,VII A,Budi Pratama,080000000001
2,2701002,2701000002,Aisyah Nuraini,VII A,Siti Nuraini,080000000002
3,2701003,2701000003,Akbar Ramadhan,VII A,Dedi Ramadhan,080000000003
4,2701004,2701000004,Anindya Putri,VII A,Rina Putri,080000000004
5,2701005,2701000005,Bagas Saputra,VII A,Agus Saputra,080000000005
6,2701006,2701000006,Bella Maharani,VII A,Dewi Maharani,080000000006
7,2701007,2701000007,Cahyo Nugroho,VII A,Eko Nugroho,080000000007
8,2701008,2701000008,Citra Lestari,VII A,Maya Lestari,080000000008
9,2701009,2701000009,Daffa Alfarizi,VII A,Fajar Alfarizi,080000000009
10,2701010,2701000010,Dinda Aprilia,VII A,Nina Aprilia,080000000010
