No,NIS,NISN,Nama,Kelas,Wali,No WA
1,2702001,2702000001,Eka Maulana,VII B,Rudi Maulana,080000000011
2,2702002,2702000002,Elsa Safitri,VII B,Yuni Safitri,080000000012
3,2702003,2702000003,Fahri Kurniawan,VII B,Andi Kurniawan,080000000013
4,2702004,2702000004,Farah Nabila,VII B,Lina Nabila,080000000014
5,2702005,2702000005,Gilang Ramadhan,VII B,Hendra Ramadhan,080000000015
6,2702006,2702000006,Gita Permata,VII B,Intan Permata,080000000016
7,2702007,2702000007,Hafiz Akmal,VII B,Rahmat Akmal,080000000017
8,2702008,2702000008,Hana Aulia,VII B,Nur Aulia,080000000018
9,2702009,2702000009,Ilham Fauzan,VII B,Yusuf Fauzan,080000000019
10,2702010,2702000010,Indah Puspita,VII B,Ani Puspita,080000000020
