No,NIS,NISN,Nama,Kelas,Wali,No WA
1,2703001,2703000001,Jovan Alamsyah,VII C,Teguh Alamsyah,080000000021
2,2703002,2703000002,Kania Rahma,VII C,Sari Rahma,080000000022
3,2703003,2703000003,Kevin Firmansyah,VII C,Dadan Firmansyah,080000000023
4,2703004,2703000004,Laila Khairunnisa,VII C,Nisa Khairunnisa,080000000024
5,2703005,2703000005,Muhammad Rizky,VII C,Ahmad Rizky,080000000025
6,2703006,2703000006,Nadia Oktaviani,VII C,Rini Oktaviani,080000000026
7,2703007,2703000007,Naufal Hakim,VII C,Arif Hakim,080000000027
8,2703008,2703000008,Nayla Salsabila,VII C,Fitri Salsabila,080000000028
9,2703009,2703000009,Putra Mahendra,VII C,Joko Mahendra,080000000029
10,2703010,2703000010,Qonita Zahra,VII C,Ika Zahra,080000000030
