No,NIS,NISN,Nama,Kelas,Wali,No WA
1,2801001,2801000001,Rafi Alamsyah,VIII A,Bambang Alamsyah,080000000031
2,2801002,2801000002,Rania Febriani,VIII A,Wati Febriani,080000000032
3,2801003,2801000003,Reza Pahlevi,VIII A,Haris Pahlevi,080000000033
4,2801004,2801000004,Sabrina Anjani,VIII A,Ratna Anjani,080000000034
5,2801005,2801000005,Satria Wijaya,VIII A,Heru Wijaya,080000000035
6,2801006,2801000006,Shafa Amalia,VIII A,Nur Amalia,080000000036
7,2801007,2801000007,Taufik Hidayat,VIII A,Asep Hidayat,080000000037
8,2801008,2801000008,Tiara Ramadhani,VIII A,Erna Ramadhani,080000000038
9,2801009,2801000009,Umar Faruq,VIII A,Hasan Faruq,080000000039
10,2801010,2801000010,Vania Larasati,VIII A,Dian Larasati,080000000040
