No,NIS,NISN,Nama,Kelas,Wali,No WA
1,2802001,2802000001,Wahyu Setiawan,VIII B,Doni Setiawan,080000000041
2,2802002,2802000002,Wulan Anggraini,VIII B,Mira Anggraini,080000000042
3,2802003,2802000003,Yoga Prakoso,VIII B,Bayu Prakoso,080000000043
4,2802004,2802000004,Yumna Azzahra,VIII B,Rahma Azzahra,080000000044
5,2802005,2802000005,Zidan Maulana,VIII B,Irfan Maulana,080000000045
6,2802006,2802000006,Ziva Oktavia,VIII B,Desi Oktavia,080000000046
7,2802007,2802000007,Abimanyu Putra,VIII B,Surya Putra,080000000047
8,2802008,2802000008,Adelia Kusuma,VIII B,Reni Kusuma,080000000048
9,2802009,2802000009,Alif Fadillah,VIII B,Sofyan Fadillah,080000000049
10,2802010,2802000010,Amelia Cahyani,VIII B,Tuti Cahyani,080000000050
