No,NIS,NISN,Nama,Kelas,Wali,No WA
1,2803001,2803000001,Ardan Syahputra,VIII C,Rendra Syahputra,080000000051
2,2803002,2803000002,Aurelia Jasmine,VIII C,Mega Jasmine,080000000052
3,2803003,2803000003,Bintang Pamungkas,VIII C,Agung Pamungkas,080000000053
4,2803004,2803000004,Calista Amanda,VIII C,Rika Amanda,080000000054
5,2803005,2803000005,Damar Wicaksono,VIII C,Tono Wicaksono,080000000055
6,2803006,2803000006,Danisa Rahmani,VIII C,Lilis Rahmani,080000000056
7,2803007,2803000007,Ervan Prasetyo,VIII C,Dwi Prasetyo,080000000057
8,2803008,2803000008,Fani Nurhaliza,VIII C,Yati Nurhaliza,080000000058
9,2803009,2803000009,Fikri Firmansyah,VIII C,Imam Firmansyah,080000000059
10,2803010,2803000010,Galuh Maharani,VIII C,Evi Maharani,080000000060
